k,pmo_sse,pmo_ssi,sse_sim,ssi_sim,F_r
0.10821712294123571,0.07842005414389719,0.018834181221621282,,,0.3455956077882387
0.11113707140136865,0.08027851807197472,0.019678376282608268,,,0.3455956077882387
0.11413580682957188,0.08217477516119565,0.020556269096222768,0.0809,0.02273011115274135,0.3455956077882387
0.11721545508060704,0.08410929554381463,0.021468930589127022,,,0.3455956077882387
0.12037819936971787,0.08608254069440524,0.022417448135957696,,,0.3455956077882387
0.12362628182034863,0.08809496258819183,0.02340292463630267,,,0.3455956077882387
0.1269620050536239,0.09014700283400945,0.024426477500891552,,,0.3455956077882387
0.13038773382071583,0.09223909178457823,0.02548923754495558,,,0.3455956077882387
0.13390589667925681,0.09437164762303596,0.026592347786045467,,,0.3455956077882387
0.13751898771498536,0.09654507542764434,0.02773696214448118,,,0.3455956077882387
0.1412295683098461,0.098759766215327,0.028924244044556735,,,0.3455956077882387
0.14504026895779723,0.10101609596521965,0.0301553649150077,,,0.3455956077882387
0.14895379112961243,0.10331442462349028,0.03143150258755678,0.1012,0.03256604760659168,0.3455956077882387
0.15297290918800005,0.10565509509083393,0.032753839592707834,,,0.3455956077882387
0.1571004723543957,0.1080384321941733,0.034123561352338516,,,0.3455956077882387
0.1613394067288243,0.11046474164425357,0.03554185426905243,,,0.3455956077882387
0.16569271736426233,0.1129343089809538,0.037009903712692194,,,0.3455956077882387
0.1701634903969712,0.11544739850829722,0.03852889190488429,,,0.3455956077882387
0.17475489523431184,0.11800425222127897,0.04009999570297973,,,0.3455956077882387
0.1794701868015919,0.12060508872679176,0.04172438428527925,,,0.3455956077882387
0.1843127078495377,0.12325010216101429,0.04340321673996206,,,0.3455956077882387
0.18928589132402748,0.125939461106241,0.04513763956084205,,,0.3455956077882387
0.19439326279976535,0.1286733075086688,0.046928784053192674,,,0.3455956077882387
0.19963844297962113,0.13145175560201638,0.048777763654440864,0.1342,0.05044153063955044,0.3455956077882387
0.20502515026140888,0.13427489083799116,0.050685671173976266,,,0.3455956077882387
0.2105572033739224,0.13714276882758047,0.052653575957782306,,,0.3455956077882387
0.2162385240840972,0.1400554142980459,0.054682520984526306,,,0.3455956077882387
0.22207313997721828,0.1430128200640306,0.05677351989830359,,,0.3455956077882387
0.22806518731214404,0.1460149460233251,0.058927553987678016,,,0.3455956077882387
0.2342189139535706,0.14906171817528946,0.061145569117327936,,,0.3455956077882387
0.2405386823834161,0.15215302766807348,0.06342847262178042,,,0.3455956077882387
0.24702897279345826,0.15528872987799847,0.06577713017044673,,,0.3455956077882387
0.25369438626141894,0.15846864352496814,0.06819236261392247,,,0.3455956077882387
0.2605396480127469,0.16169254982783965,0.07067494282210607,0.1587,0.07401707009934239,0.3455956077882387
0.2675696107704105,0.1649601917037189,0.07322559252524452,,,0.3455956077882387
0.2747892581950762,0.16827127301512412,0.07584497916952626,,,0.3455956077882387
0.28220370841811054,0.17162545786938277,0.07853371279947141,,,0.3455956077882387
0.2898182176699109,0.17502236997314236,0.08129234297928234,,,0.3455956077882387
0.29763818400613723,0.1784615920481455,0.08412135576688518,,,0.3455956077882387
0.30566915113448534,0.1819426653081644,0.0870211707524754,,,0.3455956077882387
0.31391681234471674,0.1854650890081715,0.08999213817776752,,,0.3455956077882387
0.3223870145447284,0.18902832005921855,0.09303453614588864,,,0.3455956077882387
0.33108576240552584,0.1926317727223722,0.0961485679393691,,,0.3455956077882387
0.34001922261803696,0.19627481837946115,0.09933435945800917,,,0.3455956077882387
0.34919372826478434,0.1999567853858294,0.10259195679117639,0.1949,0.10283687943262411,0.3455956077882387
0.3586157833095161,0.2036769590079449,0.105921323938169,,,0.3455956077882387
0.3682920672079764,0.20743458144876914,0.10932234069015834,,,0.3455956077882387
0.3782294396430859,0.2112288519635559,0.11279480068692649,,,0.3455956077882387
0.38843494538788825,0.21505892706848528,0.11633840966120634,,,0.3455956077882387
0.3989158192997098,0.21892392084425838,0.11995278388294428,,,0.3455956077882387
0.4096794914490735,0.22282290533647375,0.12363744881521532,,,0.3455956077882387
0.4207335923870031,0.2267549110542798,0.1273918379928365,,,0.3455956077882387
0.4320859585544508,0.23071892756844936,0.13121529213394967,,,0.3455956077882387
0.4437446378376843,0.2347139042096733,0.13510705849398774,,,0.3455956077882387
0.4557178952735708,0.23873875086747243,0.13906629047047658,0.2351,0.1412622111955342,0.3455956077882387
0.46801421890880235,0.24279233888974827,0.1430920474661026,,,0.3455956077882387
0.4806423258172178,0.24687350208257808,0.14718329501636096,,,0.3455956077882387
